fromBundle,cardinality,toBundle
prozessereignismanager.ui.qs,1,prozessereignismanager.proc.qs
abr-sonst-leistungserbringer.biz.impl,8,kostenerstattungswahl-basis.biz
da-aerzte-hybrid-drg.biz.impl,10,kostenerstattungswahl-basis.biz
hzv.biz,11,kostenerstattungswahl-basis.biz
gesundheitskarte.biz.qs,5,kostenerstattungswahl-basis.biz
leistungen-basis.biz,1,kostenerstattungswahl-basis.biz
meinetk.web.qs,30,kostenerstattungswahl-basis.biz
kostenerstattungswahl.ui,34,kostenerstattungswahl-basis.biz
fahrkosten.biz.impl,4,kostenerstattungswahl-basis.biz
pzr.proc,3,kostenerstattungswahl-basis.biz
da-zahnaerzte.biz,3,kostenerstattungswahl-basis.biz
kieferorthopaedie.biz,3,kostenerstattungswahl-basis.biz
kur.biz.qs,4,kostenerstattungswahl-basis.biz
sonstige-leistung.biz.qs,1,kostenerstattungswahl-basis.biz
kostenerstattungswahl.biz,57,kostenerstattungswahl-basis.biz
rehasport.biz.impl,2,kostenerstattungswahl-basis.biz
kostenerstattungswahl.biz.qs,66,kostenerstattungswahl-basis.biz
sonstige-leistung.biz,11,kostenerstattungswahl-basis.biz
psychotherapie.ui,3,kostenerstattungswahl-basis.biz
sonstige-leistung.ui,3,kostenerstattungswahl-basis.biz
zahnersatz.biz,15,kostenerstattungswahl-basis.biz
kur.ui,2,kostenerstattungswahl-basis.biz
kieferorthopaedie.biz.qs,3,kostenerstattungswahl-basis.biz
kur.biz,16,kostenerstattungswahl-basis.biz
leistung-uebergreifend.biz,33,kostenerstattungswahl-basis.biz
psychotherapie.biz,4,kostenerstattungswahl-basis.biz
meinetk.web,33,kostenerstattungswahl-basis.biz
hzv.biz.qs,1,kostenerstattungswahl-basis.biz
krankenhausaufenthalt.biz,2,kostenerstattungswahl-basis.biz
da-aerzte-asv.biz,7,kostenerstattungswahl-basis.biz
hilfsmittelversorgung.biz,8,kostenerstattungswahl-basis.biz
leistungsuebersicht-impl.biz,30,zahnersatz.biz
zahnersatz.proc,574,zahnersatz.biz
zahnersatz.ui.qs,115,zahnersatz.biz
da-zahnaerzte.ui,5,zahnersatz.biz
einstufungsverlauf.ui,3,zahnersatz.biz
da-zahnaerzte.biz,167,zahnersatz.biz
versorgungsabrechnung.ui.impl,1,zahnersatz.biz
haushaltshilfe.ui,1,zahnersatz.biz
ki-pilot.biz,52,zahnersatz.biz
zahnersatz.biz.qs,7311,zahnersatz.biz
kieferorthopaedie.ui,29,zahnersatz.biz
da-zahnaerzte.biz.qs,94,zahnersatz.biz
vorgang.ui,1,zahnersatz.biz
vorgang-application.ui,1,zahnersatz.biz
mitteilungsmanagement.ui,7,zahnersatz.biz
leistungen-pruefungen.biz,9,zahnersatz.biz
kieferorthopaedie.biz.qs,4,zahnersatz.biz
zahnersatz.proc.qs,200,zahnersatz.biz
leistung-uebergreifend.biz,1,zahnersatz.biz
zahnersatz-components.ui,351,zahnersatz.biz
meinetk.web,23,zahnersatz.biz
zusatzvertrag-batch.biz,15,zahnersatz.biz
zahnersatz.ui,3582,zahnersatz.biz
einstufungsverlauf.ui.qs,40,einstufungsverlauf.biz.qs
datenaustausch-eessi.biz.qs,2,einstufungsverlauf.biz.qs
kur.ui.qs,4,einstufungsverlauf.biz.qs
sozialausgleich-meldungen.biz.qs,12,einstufungsverlauf.biz.qs
rente.biz.qs,1687,einstufungsverlauf.biz.qs
fahrkosten.biz.qs,10,einstufungsverlauf.biz.qs
selvabrechnung.biz.qs,3,einstufungsverlauf.biz.qs
unfall.biz.qs,2,einstufungsverlauf.biz.qs
kinderkrankengeld.biz.qs,10,einstufungsverlauf.biz.qs
kur.proc.qs,16,einstufungsverlauf.biz.qs
sozv-meldungen.biz.qs,62,einstufungsverlauf.biz.qs
duebak-meldungen.biz.qs,16,einstufungsverlauf.biz.qs
kassenwechselmeldungen.biz.qs,16,einstufungsverlauf.biz.qs
einstufungsverlauf.web.qs,17,einstufungsverlauf.biz.qs
kassenwechsel-leistungsdaten.ui.impl,10,kassenwechsel-leistungsdaten.biz.impl
kassenwechsel-leistungsdaten.biz.qs,6,kassenwechsel-leistungsdaten.biz.impl
da-aerzte-hybrid-drg.ui.qs,172,da-aerzte-hybrid-drg.biz.qs
leistungen-basis.biz.qs,14,leistungen-pruefungen.biz
kinderkrankengeld.ui,3,leistungen-pruefungen.biz
versichertenbestandsfuehrung.biz.qs,15,leistungen-pruefungen.biz
versichertenbestandsfuehrung.ui,2,mitgliederbeitrag.biz
meinetk.web.qs,40,mitgliederbeitrag.biz
tkkonto.ui,58,mitgliederbeitrag.biz
mitgliederbeitrag.biz.qs,8526,mitgliederbeitrag.biz
mitgliederbeitrag.ui,1901,mitgliederbeitrag.biz
tk.de.web,59,mitgliederbeitrag.biz
tkkonto.biz.qs,3,mitgliederbeitrag.biz
inbound-versicherter.ext.inbound,5,mitgliederbeitrag.biz
meinetk.web,41,mitgliederbeitrag.biz
zusatzvertrag-batch.biz,7,mitgliederbeitrag.biz
einstufungsverlauf.biz,50,einstufungsverlauf.ext.outbound
einstufungsverlauf.biz.qs,11,einstufungsverlauf.ext.outbound
einstufungsverlauf.ext.outbound.qs,62,einstufungsverlauf.ext.outbound
korrespondenz.ui.qs,7,crm-kontaktauswahl.ui
crm-components.ui,32,crm-kontaktauswahl.ui
praeventionskurs.ui,10,crm-kontaktauswahl.ui
krebsregister.ui,62,crm-kontaktauswahl.ui
geschaeftspartner.ui,22,crm-kontaktauswahl.ui
dhd.components.ui,1,crm-kontaktauswahl.ui
korrespondenzpartner.ui,26,crm-kontaktauswahl.ui
arbeitgeberbeitrag.ui,56,crm-kontaktauswahl.ui
eel.ui,16,crm-kontaktauswahl.ui
sonstiger-geschaeftspartner.ui,26,crm-kontaktauswahl.ui
da-zahnaerzte.ui,12,crm-kontaktauswahl.ui
versichertenbestandsfuehrung.ui,65,crm-kontaktauswahl.ui
krankenhausverzeichnis.ui,82,crm-kontaktauswahl.ui
sozv-meldungen.ui,23,crm-kontaktauswahl.ui
arbeitgeberleistung.ui,3,crm-kontaktauswahl.ui
arbeitsagentur.ui,24,crm-kontaktauswahl.ui
widerspruch.ui,44,crm-kontaktauswahl.ui
rechtsakte.ui,16,crm-kontaktauswahl.ui
dokumentenklasse.ui,3,crm-kontaktauswahl.ui
unfall.ui,36,crm-kontaktauswahl.ui
geschaeftspartner-vertreterauskunft.ui,20,crm-kontaktauswahl.ui
diga.ui,23,crm-kontaktauswahl.ui
arbeitgeberbestandsfuehrung.ui,60,crm-kontaktauswahl.ui
datenaustausch-eel.ui,6,crm-kontaktauswahl.ui
sonstigerleistungserbringer.ui,8,crm-kontaktauswahl.ui
chroniker.ui,20,crm-kontaktauswahl.ui
gesundheitsprojekte.ui,32,crm-kontaktauswahl.ui
krankenhausaufenthalt.ui,18,crm-kontaktauswahl.ui
vertriebspartner.ui.impl,16,crm-kontaktauswahl.ui
crm.ui,86,crm-kontaktauswahl.ui
haeusliche-krankenpflege.ui,35,crm-kontaktauswahl.ui
haushaltshilfe.ui,12,crm-kontaktauswahl.ui
arbeitgeberbestandsfuehrung-einstieg.ui,25,crm-kontaktauswahl.ui
gutachterverzeichnis.ui,12,crm-kontaktauswahl.ui
eessi-institution.ui,8,crm-kontaktauswahl.ui
insolvenzmanagement.ui,12,crm-kontaktauswahl.ui
dokumentenarchiv.ui.qs,3,crm-kontaktauswahl.ui
vertrieb.ui,105,crm-kontaktauswahl.ui
zusatzvertrag.ui,6,crm-kontaktauswahl.ui
apotheke.ui,46,crm-kontaktauswahl.ui
kassenwechselmeldungen.ui.impl,5,crm-kontaktauswahl.ui
kieferorthopaedie.ui,41,crm-kontaktauswahl.ui
vorgang.ui,20,crm-kontaktauswahl.ui
psychotherapie.ui,24,crm-kontaktauswahl.ui
arbeitsunfaehigkeit.ui,32,crm-kontaktauswahl.ui
rvtraeger.ui,12,crm-kontaktauswahl.ui
kv-verzeichnis.ui,11,crm-kontaktauswahl.ui
kurverzeichnis.ui,38,crm-kontaktauswahl.ui
sonstige-leistung.ui,5,crm-kontaktauswahl.ui
versichertenbestandsfuehrung-components.ui,25,crm-kontaktauswahl.ui
akquise.ui.impl,14,crm-kontaktauswahl.ui
crm.ui.qs,6,crm-kontaktauswahl.ui
kur.ui,7,crm-kontaktauswahl.ui
rente.ui,20,crm-kontaktauswahl.ui
sap-eam-stammdaten.ui,28,crm-kontaktauswahl.ui
