bundleName,bundleClassification,bundleOrdinal,bundleDepartment,bundleProduct
pflegeperson.ui.impl,DEV-APP/UI/APPLICATION,1334,IT.TA.PV,Pflegeperson
prozessereignismanager.proc.qs,QS-APP/BIZ-TOP,1727,IT.AF.PEP,Geschaeftsprozess
kostenerstattungswahl-basis.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-BASIS,795,IT.TA.LEBQ,Wahl der Kostenerstattung
zahnersatz.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,949,IT.TA.ZED,Zahnersatz
com.ibm.ega.encryption-engine-library,EXTERNAL,213,Unbekannt,Unbekannt
tk.sys.eai.qs,QS-FRAMEWORK/QS,496,IT.AF.FRW,Framework EAI
verordnung-util.biz.impl,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,894,IT.TA.ZED,Digitale Gesundheitsanwendung
einstufungsverlauf.biz.qs,QS-APP/BIZ,1495,IT.TA.KEGK,Einstufungsverlauf
kassenwechsel-leistungsdaten.biz.impl,DEV-APP/BIZ/PROZESSDATEN/MELDEVERFAHREN,773,IT.TA.LEVE,Kassenwechsel-Leistungsdaten
da-aerzte-hybrid-drg.biz.qs,QS-APP/BIZ,1676,IT.TA.LEVE,DA Ärzte Hybrid-DRG
leistungen-pruefungen.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-UEBERGREIFEND,989,IT.TA.LEBQ,Leistungen-Basis
selvteilnahme.ui.qs,QS-APP/UI,1855,IT.TA.WAVE,Versorgungsangebot
tim.biz.qs,QS-APP/BIZ,1655,IT.AF.PIM,TI-Messenger-Adapter
tk.bpm.engine.api,DEV-FRAMEWORK/PROCESS,415,IT.AF.PEP,Framework Process
ext-tools.ext.inbound.qs,QS-APP/EXTERN,1936,IT.AF.FRW,Ext-Tools
mitgliederbeitrag.biz,DEV-APP/BIZ/PROZESSDATEN/BEITRAG,842,IT.TA.BCRM,Mitgliederbeitrag
einstufungsverlauf.ext.outbound,DEV-APP/EXT-OUTBOUND,603,IT.TA.KEGK,Einstufungsverlauf
crm-kontaktauswahl.ui,DEV-APP/UI/COMPONENT,1110,IT.TA.BCRM,CRM
vertriebspartner.ui.qs,QS-APP/UI,1793,IT.TA.BCRM,Vertriebsmanagement
sozv-meldungen.biz,DEV-APP/BIZ/PROZESSDATEN/MELDEVERFAHREN,776,IT.TA.KMEL,SozV-Meldungen
tim.ext.outbound.qs,QS-APP/EXT-OUTBOUND,1417,IT.AF.PIM,TI-Messenger-Adapter
micrometer-registry-influx,EXTERNAL,197,Unbekannt,Unbekannt
korrespondenz-basis.biz,DEV-APP/BIZ/BASIS/INTERAKTION,665,IT.BA.DOC,Kiss24-TKeasy
organisationsverwaltung-components.ui.qs,QS-APP/UI,1767,IT.AF.PIM,Organisations-Verwaltung
testdatenmanagement.biz.qs,QS-APP/BIZ,1526,IT.BA.DOC,Testdatenmanagement
widerspruch.ext.outbound.qs,QS-APP/EXT-OUTBOUND,1421,IT.TA.WAVE,Widerspruchsbearbeitung
testdaten-versicherter.biz,DEV-APP/BIZ/TESTDATEN,1064,IT.TA.KEGK,Versichertenbestandsfuehrung
rechnungswesen.biz.qs.api,QS-APP/BIZ,1571,IT.TA.BCRM,"TKeasy-Rechnungswesen (Vorbeleg, GP-Konto, Forderungsrealisierung)"
versichertenbestandsfuehrung-basis.biz,DEV-APP/BIZ/STAMMDATEN/PRIVATKUNDE,719,IT.TA.KEGK,Versichertenbestandsfuehrung
crm.ui.qs,QS-APP/UI,1800,IT.TA.BCRM,CRM
